Snapshot_Month,App_Name,Total_Volume_Mn,Total_Value_Cr,Network_Volume,Market_Share_Pct,Market_Share_Squared
2022-05-01,HDFC Bank Apps,6.95,1981.11,6057.96,0.11472508897384598,0.013161846040056876
2022-05-01,Airtel Payments Bank Apps,6.11,486.62,6057.96,0.10085903505470488,0.010172544952166188
2022-05-01,IDFC Bank Apps,4.75,626.34,6057.96,0.07840923347133358,0.006148007893562098
2022-05-01,State Bank of India Apps,4.18,2195.66,6057.96,0.06900012545477355,0.004761017312774489
2022-05-01,Samsung Pay,4.11,490.3,6057.96,0.0678446209615118,0.0046028925934112055
2022-05-01,WhatsApp,3.48,294.98,6057.96,0.05744508052215597,0.003299937276196983
2022-05-01,Federal Bank Apps,3.42,474.12,6057.96,0.05645464809936018,0.0031871272920225924
2022-05-01,India Post Payments Bank Apps,3.1,351.88,6057.96,0.051172341844449284,0.002618608569845175
2022-05-01,Mobikwik,2.46,397.7,6057.96,0.040607729334627495,0.0016489876817143664
2022-05-01,Jio Payments Bank Apps,2.08,127.88,6057.96,0.03433499065692081,0.0011788915834108394
2022-05-01,Jupiter,1.79,215.44,6057.96,0.029547900613407813,0.0008730784306598258
2022-05-01,Deutsche Bank Apps,1.64,116.55,6057.96,0.027071819556418332,0.0007328834140952741
2022-05-01,IndusInd Bank Apps,1.01,1711.21,6057.96,0.016672279117062507,0.00027796489095723855
2022-05-01,Bank of Baroda Apps,0.88,406.79,6057.96,0.01452634220100496,0.00021101461774069763
2022-05-01,Bajaj Finserv,0.79,58.53,6057.96,0.013040693566811272,0.0001700596887034729
2022-05-01,Groww,0.51,335.28,6057.96,0.008418675593764238,7.087409875304165e-05
2022-05-01,DBS Digibank Apps,0.47,186.33,6057.96,0.007758387311900376,6.019257368145674e-05
2022-05-01,Union Bank Apps,0.45,211.85,6057.96,0.0074282431709684444,5.517879660703933e-05
2022-05-01,RBL Bank Apps,0.38,125.39,6057.96,0.006272738677706688,3.9347250518797446e-05
2022-05-01,AU Small Finance Bank Apps,0.35,107.22,6057.96,0.0057775224663087895,3.33797658487028e-05
2022-05-01,Canara Bank Apps,0.33,114.09,6057.96,0.00544737832537686,2.9673930619785604e-05
2022-05-01,Karnataka Bank Apps,0.33,40.34,6057.96,0.00544737832537686,2.9673930619785604e-05
2022-05-01,TataNeu,0.22,30.33,6057.96,0.00363158555025124,1.3188413608793602e-05
2022-05-01,UCO Bank Apps,0.22,46.39,6057.96,0.00363158555025124,1.3188413608793602e-05
2022-05-01,MI Pay,0.2,33.9,6057.96,0.003301441409319309,1.0899515379168265e-05
2022-05-01,Indian Bank Apps,0.16,53.13,6057.96,0.002641153127455447,6.975689842667689e-06
2022-05-01,Central Bank of India Apps,0.15,55.4,6057.96,0.0024760810569894815,6.130977400782148e-06
2022-05-01,South Indian Bank Apps,0.14,49.73,6057.96,0.0023110089865235163,5.34076253579245e-06
2022-05-01,Citi Bank Apps,0.13,78.71,6057.96,0.0021459369160575508,4.6050452476985916e-06
